6.954458951950073
         24001119 function calls (24000883 primitive calls) in 6.966 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       53    0.000    0.000    0.000    0.000 _regex_core.py:4196(match)
        3    0.000    0.000    0.000    0.000 _regex_core.py:345(_check_firstset)
      113    0.000    0.000    0.000    0.000 enum.py:1367(_iter_member_by_def_)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      3/2    0.000    0.000    0.000    0.000 _regex_core.py:2072(optimise)
        5    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      191    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.002    0.000 {built-in method builtins.sum}
      133    0.000    0.000    0.000    0.000 _regex_core.py:1878(__init__)
       23    0.000    0.000    0.000    0.000 _regex_core.py:3246(__init__)
     17/5    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
        8    0.000    0.000    0.000    0.000 _regex_core.py:1192(parse_escape)
        8    0.000    0.000    0.000    0.000 _regex_core.py:511(apply_quantifier)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        3    0.000    0.000    0.000    0.000 _regex_core.py:2179(_split_common_prefix)
        3    0.000    0.000    0.000    0.000 _regex_core.py:2346(_reduce_to_set)
       34    0.000    0.000    0.000    0.000 enum.py:747(__delattr__)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        9    0.000    0.000    0.000    0.000 {built-in method _locale.setlocale}
        1    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
       57    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
       20    0.000    0.000    0.000    0.000 _regex_core.py:1881(with_flags)
       39    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       19    0.000    0.000    0.000    0.000 _regex_core.py:3537(_flush_characters)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      117    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:272(_compile)
      116    0.000    0.000    0.000    0.000 _regex_core.py:1661(<genexpr>)
       19    0.000    0.000    0.000    0.000 _regex_core.py:384(make_case_flags)
        4    0.000    0.000    0.000    0.000 _regex_core.py:1389(parse_property)
       23    0.000    0.000    0.000    0.000 _regex_core.py:1948(__init__)
       34    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
     17/2    0.000    0.000    0.011    0.005 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        9    0.000    0.000    0.000    0.000 locale.py:612(setlocale)
       28    0.000    0.000    0.000    0.000 _regex_core.py:1871(make_sequence)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
       65    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.011    0.011 __init__.py:1(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
       31    0.000    0.000    0.000    0.000 _regex_core.py:3432(__init__)
      3/2    0.000    0.000    0.000    0.000 _regex_core.py:2146(_compile)
       39    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
    15/10    0.000    0.000    0.000    0.000 _regex_core.py:3439(fix_groups)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1602(_get_spec)
       34    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        2    0.000    0.000    0.000    0.000 _regex_core.py:1513(parse_set_imp_union)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
       39    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.001    0.001 _parser.py:979(parse)
        6    0.000    0.000    0.000    0.000 _regex_core.py:376(_flatten_code)
        7    0.000    0.000    0.000    0.000 _regex_core.py:1577(parse_set_item)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1411(_path_hooks)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      132    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       49    0.000    0.000    0.000    0.000 _parser.py:256(match)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2063(Branch)
       51    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
        6    0.000    0.000    0.000    0.000 _regex_core.py:2546(_compile)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.000    0.000 _regex_core.py:73(RegexFlag)
        1    0.000    0.000    0.000    0.000 _compiler.py:511(_compile_info)
       94    0.000    0.000    0.000    0.000 enum.py:1374(<lambda>)
       26    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _compiler.py:740(compile)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       19    0.000    0.000    0.000    0.000 enum.py:1453(<listcomp>)
       33    0.000    0.000    0.000    0.000 {built-in method builtins.min}
    16/11    0.000    0.000    0.000    0.000 _regex_core.py:2453(<genexpr>)
        7    0.000    0.000    0.000    0.000 _regex_core.py:1536(parse_set_member)
    34/24    0.000    0.000    0.000    0.000 _regex_core.py:1934(__hash__)
       71    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        6    0.000    0.000    0.000    0.000 _regex_core.py:3506(get_firstset)
        4    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1562(__init__)
       55    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1424(_path_importer_cache)
        3    0.000    0.000    0.000    0.000 locale.py:679(getpreferredencoding)
        2    0.000    0.000    0.000    0.000 _regex_core.py:1447(parse_set)
      3/2    0.000    0.000    0.000    0.000 _regex_core.py:2166(_flatten_branches)
       39    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        2    0.000    0.000    0.000    0.000 _regex_core.py:803(parse_paren)
        8    0.000    0.000    0.000    0.000 _regex_core.py:2909(_compile)
       13    0.000    0.000    0.000    0.000 _regex_core.py:2400(_flush_set_members)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1121(parse_flags_subpattern)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        4    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        4    0.000    0.000    0.000    0.000 _regex_core.py:1425(parse_property_name)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
        3    0.000    0.000    0.000    0.000 __init__.py:587(__init__)
      3/2    0.000    0.000    0.000    0.000 _regex_core.py:2123(<listcomp>)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
       16    0.000    0.000    0.000    0.000 _regex_core.py:2871(__init__)
        2    0.000    0.000    0.000    0.000 enum.py:979(_find_data_type_)
        3    0.000    0.000    0.000    0.000 _regex_core.py:335(_compile_firstset)
       31    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
        2    0.000    0.000    0.000    0.000 _regex_core.py:2139(get_firstset)
       14    0.000    0.000    0.000    0.000 _regex_core.py:3271(_compile)
        5    0.000    0.000    0.000    0.000 _regex_core.py:3645(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        8    0.000    0.000    0.000    0.000 _regex_core.py:2880(optimise)
        8    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        2    0.000    0.000    0.000    0.000 enum.py:943(_get_mixins_)
        6    0.000    0.000    0.000    0.000 _regex_core.py:3522(_compile)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
        3    0.000    0.000    0.000    0.000 enum.py:933(_check_for_existing_members_)
    34/24    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       38    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        3    0.000    0.000    0.000    0.000 _regex_core.py:4264(__init__)
        1    0.000    0.000    0.002    0.002 regex.py:340(finditer)
        2    0.000    0.000    0.000    0.000 _compiler.py:388(<listcomp>)
       22    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       49    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       15    0.000    0.000    0.000    0.000 _regex_core.py:508(<listcomp>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        4    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        9    0.000    0.000    0.000    0.000 _regex_core.py:2197(<genexpr>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1699(path_hook_for_FileFinder)
      3/2    0.000    0.000    0.000    0.000 _regex_core.py:2068(fix_groups)
        3    0.000    0.000    0.000    0.000 _regex_core.py:4365(_get_required_string)
       15    0.000    0.000    0.000    0.000 _regex_core.py:3627(<genexpr>)
        8    0.000    0.000    0.000    0.000 _regex_core.py:2902(get_firstset)
       49    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        4    0.000    0.000    0.000    0.000 _regex_core.py:3943(__init__)
      3/2    0.000    0.000    0.000    0.000 _regex_core.py:2122(pack_characters)
        2    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
        2    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3239(Property)
      2/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 _regex_core.py:1102(parse_subpattern)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1658(_fill_cache)
        1    0.000    0.000    0.000    0.000 {method 'match' of '_regex.Pattern' objects}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        4    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.001    0.001 __init__.py:225(compile)
       16    0.000    0.000    0.000    0.000 _parser.py:176(append)
       21    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       45    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        1    0.000    0.000    0.002    0.002 regex.py:314(split)
        2    0.000    0.000    0.000    0.000 _parser.py:376(_escape)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2510(Character)
        3    0.000    0.000    0.000    0.000 regex.py:471(complain_unused_args)
        1    0.000    0.000    0.000    0.000 enum.py:652(<listcomp>)
        3    0.000    0.000    0.000    0.000 enum.py:1547(__invert__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
        2    0.000    0.000    0.000    0.000 _parser.py:903(_parse_flags)
        1    0.000    0.000    0.000    0.000 enum.py:1008(_find_new_)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        3    0.000    0.000    0.000    0.000 _regex_core.py:4041(__init__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1877(RegexBase)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
       16    0.000    0.000    0.000    0.000 _regex_core.py:2191(<genexpr>)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3301(Range)
       26    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        4    0.000    0.000    0.000    0.000 _parser.py:453(_uniq)
       20    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       16    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 _regex_core.py:3431(Sequence)
       14    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        1    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        6    0.000    0.000    0.000    0.000 _regex_core.py:2540(get_firstset)
        4    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        1    0.000    0.000    0.094    0.094 train_bpe.py:39(<listcomp>)
        6    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        8    0.000    0.000    0.000    0.000 _regex_core.py:559(parse_quantifier)
        4    0.000    0.000    0.000    0.000 _regex_core.py:4119(get_while)
       26    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        5    0.000    0.000    0.000    0.000 _regex_core.py:3626(max_width)
        8    0.000    0.000    0.000    0.000 _regex_core.py:2885(pack_characters)
       34    0.000    0.000    0.000    0.000 enum.py:1151(__init__)
        1    0.000    0.000    0.000    0.000 string.py:188(Formatter)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
       18    0.000    0.000    0.000    0.000 enum.py:798(<genexpr>)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2003(Atomic)
        1    0.000    0.000    0.000    0.000 _regex_core.py:946(parse_lookaround)
        1    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3079(LookAround)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1085(parse_flags)
       27    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       34    0.000    0.000    0.000    0.000 enum.py:239(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2715(Fuzzy)
       34    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 _regex_core.py:3805(SetSymDiff)
        8    0.000    0.000    0.000    0.000 _regex_core.py:2877(fix_groups)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        4    0.000    0.000    0.000    0.000 _regex_core.py:3971(_compile)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3147(LookAroundConditional)
        8    0.000    0.000    0.000    0.000 _virtualenv.py:50(find_spec)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3644(SetBase)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       23    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        7    0.000    0.000    0.000    0.000 _regex_core.py:1937(__eq__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3091(optimise)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3960(get_firstset)
       30    0.000    0.000    0.000    0.000 _regex_core.py:2537(optimise)
       28    0.000    0.000    0.000    0.000 _regex_core.py:1901(fix_groups)
        1    0.000    0.000    0.002    0.002 train_bpe.py:90(strip_special_tokens)
        3    0.000    0.000    0.000    0.000 __init__.py:660(update)
        6    0.000    0.000    0.000    0.000 _regex_core.py:2064(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       10    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        8    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3936(String)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1568(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        8    0.000    0.000    0.000    0.000 _regex_core.py:2940(max_width)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3378(RefGroup)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        3    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 string.py:57(Template)
        6    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        6    0.000    0.000    0.000    0.000 _regex_core.py:3691(_handle_case_folding)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3659(rebuild)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        6    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 {method 'finditer' of '_regex.Pattern' objects}
        4    0.000    0.000    0.000    0.000 _regex_core.py:410(make_property)
      3/2    0.000    0.000    0.000    0.000 _regex_core.py:2452(max_width)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3998(StringSet)
        1    0.000    0.000    0.000    0.000 enum.py:360(__init__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2959(PossessiveRepeat)
       17    0.000    0.000    0.000    0.000 _regex_core.py:3262(optimise)
        3    0.000    0.000    0.000    0.000 _regex_core.py:4326(_check_group_features)
        9    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       13    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        3    0.000    0.000    0.000    0.000 {built-in method _locale.getencoding}
        1    0.000    0.000    0.000    0.000 train_bpe.py:31(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__import__}
        3    0.000    0.000    0.000    0.000 _regex_core.py:2107(_add_precheck)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2867(GreedyRepeat)
        6    0.000    0.000    0.000    0.000 _regex_core.py:3236(_compile)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3749(SetDiff)
        4    0.000    0.000    0.000    0.000 _regex_core.py:3265(get_firstset)
       11    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.000    0.000 _regex_core.py:3082(__init__)
        6    0.000    0.000    0.000    0.000 _regex_core.py:2573(max_width)
        2    0.000    0.000    0.000    0.000 train_bpe.py:40(<genexpr>)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3838(SetUnion)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2584(Conditional)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3775(SetInter)
        2    0.000    0.000    0.000    0.000 _regex_core.py:1943(get_required_string)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2989(Group)
        2    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       12    0.000    0.000    0.000    0.000 _regex_core.py:1907(pack_characters)
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        2    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
        8    0.000    0.000    0.000    0.000 _regex_core.py:1931(is_empty)
        5    0.000    0.000    0.000    0.000 _regex_core.py:3746(__del__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1069(parse_flag_set)
        1    0.000    0.000    0.000    0.000 __init__.py:253(escape)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4039(Source)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        3    0.000    0.000    0.000    0.000 _regex_core.py:4239(at_end)
        6    0.000    0.000    0.000    0.000 _regex_core.py:3233(__init__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1976(Any)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3120(_compile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
      2/1    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
