6.954458951950073
         24001119 function calls (24000883 primitive calls) in 6.966 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2455(CallGroup)
        1    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        3    0.000    0.000    0.000    0.000 regex.py:476(<setcomp>)
        1    0.000    0.000    0.000    0.000 enum.py:772(__getattr__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        5    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        4    0.000    0.000    0.000    0.000 _regex_core.py:3985(max_width)
        4    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 _regex_core.py:1947(ZeroWidthBase)
        2    0.000    0.000    0.000    0.000 _regex_core.py:4235(expect)
        1    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 enum.py:193(__get__)
        1    0.000    0.000    0.000    0.000 enum.py:965(_find_data_repr_)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4261(Info)
        4    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:90(RLock)
        2    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        1    0.000    0.000    0.000    0.000 _parser.py:963(fix_flags)
        1    0.000    0.000    0.000    0.000 enum.py:794(__iter__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        2    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        1    0.000    0.000    0.000    0.000 _regex_core.py:30(error)
        1    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
        3    0.000    0.000    0.000    0.000 {method 'clear' of 'set' objects}
        3    0.000    0.000    0.000    0.000 regex.py:642(<genexpr>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
        1    0.000    0.000    0.000    0.000 _regex_core.py:3721(max_width)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:409(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3295(Prune)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2848(Grapheme)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(__init__)
        1    0.000    0.000    0.000    0.000 enum.py:806(__members__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3916(Skip)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3663(get_firstset)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3075(LazyRepeat)
        1    0.000    0.000    0.000    0.000 {built-in method regex._regex.get_code_size}
        1    0.000    0.000    0.000    0.000 _regex_core.py:4386(Scanner)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3519(has_simple_start)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1995(AnyAll)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2059(Boundary)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2501(CallRef)
        3    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1999(AnyU)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3629(get_required_string)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3088(fix_groups)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3232(PrecompiledCode)
        1    0.000    0.000    0.000    0.000 _regex_core.py:262(Namespace)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3928(StartOfString)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3098(pack_characters)
        1    0.000    0.000    0.000    0.000 _parser.py:295(seek)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2709(Failure)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2693(EndOfString)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3427(SearchAnchor)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method regex._regex.get_properties}
        1    0.000    0.000    0.000    0.000 _regex_core.py:3924(StartOfLineU)
        3    0.000    0.000    0.000    0.000 _regex_core.py:1916(can_be_affix)
        1    0.000    0.000    0.000    0.000 _regex_core.py:61(_UnscopedFlagSet)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3932(StartOfWord)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3991(Literal)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3920(StartOfLine)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2677(DefaultEndOfWord)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3071(Keep)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2705(EndOfWord)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2673(DefaultBoundary)
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _regex_core.py:2863(GraphemeBoundary)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2681(DefaultStartOfWord)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2701(EndOfStringLineU)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2697(EndOfStringLine)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2935(__eq__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2689(EndOfLineU)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2685(EndOfLine)
        2    0.000    0.000    0.000    0.000 _regex_core.py:1925(has_simple_start)
        1    0.000    0.000    0.000    0.000 _regex_core.py:65(ParseError)
        1    0.000    0.000    0.000    0.000 _regex_core.py:69(_FirstSetError)
        1    0.000    0.000    0.000    0.000 enum.py:1257(value)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 _regex_core.py:3144(max_width)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}


